"","ENSG00000007402","ENSG00000078399","ENSG00000080293","ENSG00000087086","ENSG00000089225","ENSG00000092054","ENSG00000096088","ENSG00000100433","ENSG00000110786","ENSG00000112175","ENSG00000112494","ENSG00000113296","ENSG00000116745","ENSG00000118526","ENSG00000121075","ENSG00000122852","ENSG00000123243","ENSG00000125414","ENSG00000125798","ENSG00000126233","ENSG00000127080","ENSG00000127241","ENSG00000131400","ENSG00000136352","ENSG00000136546","ENSG00000137675","ENSG00000137804","ENSG00000138944","ENSG00000139988","ENSG00000140465","ENSG00000141161","ENSG00000142661","ENSG00000143631","ENSG00000146839","ENSG00000152582","ENSG00000159708","ENSG00000159871","ENSG00000162892","ENSG00000163075","ENSG00000163380","ENSG00000163394","ENSG00000163463","ENSG00000164265","ENSG00000165762","ENSG00000166317","ENSG00000166448","ENSG00000166589","ENSG00000167107","ENSG00000168079","ENSG00000168484","ENSG00000168530","ENSG00000168878","ENSG00000169035","ENSG00000170423","ENSG00000171403","ENSG00000171557","ENSG00000171885","ENSG00000171954","ENSG00000178175","ENSG00000179240","ENSG00000179477","ENSG00000180209","ENSG00000180660","ENSG00000183607","ENSG00000184937","ENSG00000185303","ENSG00000185739","ENSG00000196581","ENSG00000197901","ENSG00000198203","ENSG00000204361","ENSG00000214140","ENSG00000224127","ENSG00000224149","ENSG00000229415","ENSG00000229526","ENSG00000233101","ENSG00000248801","ENSG00000255399","ENSG00000261213","ENSG00000275896","ENSG00000283175","ENSG00000283907","cg00327072","cg00348900","cg00646731","cg02004641","cg02021485","cg02102533","cg02105519","cg02248486","cg02422694","cg02916332","cg03124636","cg04460185","cg04499325","cg04697946","cg04863892","cg05050858","cg05453337","cg05471296","cg05487507","cg05740106","cg05743885","cg05996795","cg06055873","cg06103624","cg06651376","cg07302069","cg07438617","cg07858113","cg08398691","cg08705647","cg08940169","cg09017619","cg09197492","cg09646197","cg09825979","cg10089145","cg10303978","cg10474350","cg10996039","cg11423130","cg11724970","cg11849086","cg12196573","cg12232308","cg12444736","cg13337949","cg13717446","cg13789775","cg13858136","cg14359292","cg14400030","cg14809191","cg15241499","cg15320272","cg15565065","cg15797110","cg16082877","cg16326123","cg16561266","cg16617518","cg16872560","cg17147526","cg17470674","cg17496661","cg17504135","cg18103150","cg18261462","cg19153763","cg19177125","cg19585103","cg19759481","cg19800670","cg20293594","cg20293609","cg20591728","cg20747380","cg20749769","cg20780811","cg21299458","cg22623133","cg23173688","cg23194776","cg23432345","cg23440816","cg23452969","cg24033224","cg24121069","cg24439713","cg24704287","cg25228995","cg25408237","cg25637829","cg25828346","cg26292895","cg27318546","cg27391627","cg27508551","cancersite"
"TCGA-CR-7402-01A",78,816,3,59629,2,77,0,59,2,9,34,67,169,0,1068,3,1584,281,5,528,2631,3413,23,0,14,16,12,487,424,282,25,228,239,312,95,0,2821,1006,4,16,4,80,40,0,92,6,32,974,51,33,31,5,6558,1946,19040,0,19,393,213,326,499,64,77,0,2,3,1031,78,0,1,140,283,2,7,0,177,1,1,4,3,1,26,10,0.967993750583339,0.454617341066491,0.864478146544294,0.167526417443263,0.837730384862164,0.50424486953484,0.194518131878882,0.174369015406894,0.313430601924349,0.400197783922186,0.0620161870824026,0.0497851746191773,0.103882280238936,0.452387878066609,0.273620032667894,0.918726097418073,0.992331838525492,0.0792233972471152,0.472792509011601,0.95665250779366,0.113159510592638,0.0356157464273461,0.266673432973286,0.915326579584342,0.979562276890826,0.0407646084590704,0.124585491590796,0.0476937700705843,0.973645931616955,0.959253050466404,0.975682038450167,0.0306914103393521,0.890249556450516,0.933344962483068,0.892761489961572,0.0708071359517476,0.719602374536314,0.0275764311509307,0.913937384092537,0.986218833305973,0.338024008224329,0.0444062707693694,0.111950504308738,0.0893644778407941,0.968919365869758,0.119918298524008,0.0651102336012854,0.11915648103965,0.827843292527233,0.161627919254772,0.939921445343794,0.184125411493671,0.114686532043749,0.908194418736939,0.285394187804955,0.0726426514627976,0.0230589003917293,0.955004499114935,0.0546742667629213,0.124268085705903,0.105425162260207,0.941829397236504,0.563808039192555,0.863249673560699,0.969264205771699,0.936560633367042,0.0167487265910355,0.113905726126142,0.914048132862535,0.0208025850658587,0.148721312277358,0.449094577572045,0.0684070581552006,0.986316149583702,0.902101392841472,0.263096237539441,0.0160991158972444,0.58272903331338,0.272073569415564,0.0361481607744659,0.363814880650519,0.746670628773653,0.0714229346637108,0.973352107946985,0.113336624053109,0.97213896252662,0.936818575260068,0.492179764423117,0.0545666292049491,0.94724181533094,0.974520128026704,0.141471737922811,0.872250316495832,0.970216449837982,0.0571498524741206,0.965908963526184,0.107976727224056,"larynx"
"TCGA-CV-7410-01A",88,9,6,94103,21,16,6,461,15,14,221,381,180,0,5,18,1009,11,0,426,1354,25,27,4,11,1,12,1338,151,1,9,2889,894,99,90,17,1170,121,8,10,1,77,2,3,25,99,7,1180,240,4,5,26,1750,426,1268,0,2,165,220,107,1001,11,35,2,78,4,190,436,5,41,0,36,0,0,0,122,9,1,24,0,10,3,9,0.96276913105164,0.747001168425255,0.882438132260355,0.0748747433215534,0.910287627045771,0.920183493807731,0.274149854273174,0.405428738480431,0.0430537084105804,0.49875936638143,0.0960287606935101,0.0635878283464128,0.344795861861025,0.796927433729712,0.520879606482591,0.877462800889951,0.989972181679199,0.0671320885915568,0.764365739538305,0.879375294559057,0.0913855833214746,0.0459664098231887,0.415463307477643,0.987440273271736,0.960520202100637,0.0251394647657883,0.0213613736263148,0.0352928404836709,0.93520464397959,0.859828294034197,0.767625406732411,0.027904341992786,0.836662683901592,0.849803621452303,0.962015638811383,0.102900506419119,0.834789149697241,0.0414999745093641,0.931250187551309,0.87937097613728,0.542008634236542,0.0719302427054104,0.12423852874679,0.0564829499381741,0.736072007374837,0.128113996048862,0.21671441914572,0.0482544004420278,0.829358545157586,0.226044643022969,0.795336581269097,0.118760000039117,0.192481500211738,0.923738240044101,0.0162911846094753,0.0691965057470812,0.0337142564658191,0.98503213643028,0.228228968490517,0.20007822591444,0.195952571064509,0.790338300965961,0.92434202232712,0.754031557181762,0.957520463666081,0.93740966222113,0.0210110791682718,0.113756769420204,0.774784512635206,0.0191825409410739,0.39130890546974,0.816818148582264,0.0530187249700976,0.986525973775546,0.896752862324317,0.419859425104215,0.0200084443627375,0.288414113863814,0.347649900287567,0.0316068121942728,0.613422047780519,0.985814351931997,0.0407997390572046,0.956903285625715,0.143554315649127,0.975929783970553,0.944002810309414,0.834192213019083,0.423490421425682,0.983779793107844,0.966236552727645,0.122473876455346,0.856364841579449,0.935937051656556,0.0764659523346544,0.925092158152176,0.0731408195770113,"larynx"
"TCGA-CN-5360-01A",107,16,57,97624,131,13965,1,405,58,3,126,6256,12,15,944,14,1621,10934,26,682,938,2276,41,1,40,69,8,449,564,222,585,2270,892,148,235,6,1160,61,89,587,94,86,157,2,892,35,48,508,1054,2,3158,21,3853,2076,49,3,82,654,312,104,649,897,60,0,1,4,1207,84,0,37,580,31,2,8,2,57,21,4,5,5,0,22,2,0.861725423019436,0.608264831415719,0.858505081257115,0.0549295694838173,0.846336033897127,0.689375606680415,0.0509618911470933,0.248688606531075,0.0407229857193555,0.362662446234538,0.123365565774832,0.0340719442408129,0.106215517735229,0.793862670234886,0.377448685664585,0.8617923435358,0.986822596300929,0.087278696318589,0.492993567792262,0.908448738632209,0.0833822624984153,0.0808713560705161,0.382741512542875,0.929278787456973,0.972319737600027,0.0294330708128992,0.0161369512313569,0.120498728447085,0.928356443241563,0.942607357380708,0.976518625665512,0.0454469063707512,0.94270008905853,0.883802247705943,0.878866663802504,0.0570166976010455,0.977962440818125,0.041214089936626,0.893566036763266,0.970202057780623,0.422304672804745,0.0571146592564483,0.123305271513037,0.12843439998222,0.868383246824588,0.181691655496996,0.0635231354233827,0.0609476275519906,0.836658263702883,0.169936699992508,0.890618960406728,0.131586454317135,0.0939332070600438,0.896417212445999,0.020381029645443,0.0688157009232641,0.024647532020417,0.9275884378012,0.0487995735109594,0.106358101530207,0.105967837953905,0.961807914121471,0.955118774730075,0.816365169896371,0.927687290096804,0.945597581257546,0.0253907937447112,0.147142321959568,0.921170038823188,0.0270668919196964,0.209227320789118,0.789016415630482,0.091795465555714,0.98107583678581,0.928192722520823,0.348664106796806,0.0242582194502009,0.232706834135748,0.307430687015506,0.0801101412147635,0.660232529590367,0.977059967416477,0.0668605546221849,0.96401902146012,0.125347292993618,0.951672688516698,0.933139987769031,0.798770456065326,0.109437433241157,0.953387272523604,0.955479109668168,0.133754209187119,0.830128136955865,0.931083307122036,0.0834282386103373,0.969066012735817,0.0953237233258407,"larynx"
"TCGA-CV-7430-01A",33,242,1,24399,116,1,0,467,65,0,118,146,1,0,7,0,339,0,6,697,2856,13,2,34,0,1,3,739,433,6,0,45,1215,0,71,0,671,6,4,1,1,6,3,0,52,39,644,444,18,1,0,2,9579,10938,166,0,0,6339,33,6,3820,21,5,0,147,10,24,208,0,2,1,3,3,3,0,33,3,2,8,3,0,3,11,0.982771086332949,0.439073228618227,0.914957943783413,0.0429496897984955,0.897730369560931,0.467051979319556,0.0774374234695094,0.108114798607072,0.0298968265315378,0.285325311018786,0.0874899269068991,0.0576381101028742,0.7223342417956,0.904392441652385,0.223248172396174,0.892903936236101,0.989862665120165,0.063892660648616,0.851764567747004,0.980374495690599,0.0584671470508641,0.0287177230928137,0.55039343243619,0.9890995537475,0.970161709129157,0.0285707323975478,0.0177041460971984,0.0211913500219115,0.965817148193535,0.930220158675713,0.973441931452616,0.0291207774731553,0.931380196616723,0.9517646125275,0.957271955802274,0.105987249156697,0.976906804709585,0.0278429260349412,0.952481224975739,0.975687146185009,0.263211288715722,0.0325090904559464,0.0558294126702238,0.0754851531097855,0.921887857044291,0.125591021866041,0.101354779178277,0.0464241151885976,0.884160454498567,0.11070909709372,0.953499212306835,0.12576098150979,0.169756502188336,0.972357945199774,0.0161564001989587,0.0670196895988917,0.0173780568284721,0.986493723063889,0.0715610322941762,0.0874373278991706,0.0858139109159684,0.984856322528627,0.966889630616312,0.925567668023201,0.934158602516953,0.952765489965085,0.0237629426831191,0.0966921373576451,0.916550813182774,0.0223625569609108,0.0941643571789234,0.929737112474339,0.0684975011542836,0.976265172816146,0.954923710643308,0.17279946447389,0.0138911873696881,0.625285529658255,0.161883016695567,0.0280337708662638,0.775478069657979,0.985441304491347,0.0234558044742428,0.965542944952939,0.0773725537658068,0.967359494128139,0.976384795144758,0.940797682670993,0.0661968596549689,0.978589467516937,0.965477087556769,0.0874996554285418,0.898159037555601,0.979183786332224,0.0725667550892734,0.980166324367911,0.0552780099865653,"larynx"
"TCGA-CN-5363-01A",14,16,0,59435,58,1929,0,53,14,12,16,356,3,0,5,1,594,4690,28,22,766,18,6,0,11,1,6,1484,14,100,254,562,20,21,19,1,897,565,3,452,1,10,1,0,219,20,12,1173,22,2,1252,2,595,9,94,6,0,13,120,29,17,655,4,0,3,2,379,569,1,1,1,7,0,0,0,141,6,0,45,0,0,0,8,0.956577192366202,0.795899525686334,0.900044555734318,0.396149385369846,0.88435218446063,0.971109484902134,0.454521152241783,0.250718124952771,0.0375743181626249,0.369380209158414,0.114629693463956,0.0835970422798505,0.652312092931371,0.829538426662808,0.329911803824311,0.772138350573506,0.989093655877323,0.328033991312258,0.815230294209807,0.952703714375182,0.464914569514685,0.120929823686235,0.629699047880295,0.984017348888315,0.975982780100251,0.258136143982327,0.01480266431976,0.0286409703523355,0.938155140508816,0.956570267472289,0.936228426167748,0.296168409559483,0.908481336278746,0.882702341323235,0.874698195338722,0.0456381263902774,0.862224597624862,0.400339935437173,0.874201711417516,0.973151635828656,0.411939761483886,0.0883707648025776,0.333041221391301,0.120257906126,0.874210155238991,0.163049627704425,0.153743732144765,0.0553421929336422,0.861415767230617,0.218731144288604,0.750362502567606,0.139628326852837,0.16381920374521,0.864075637655603,0.0146632446762367,0.39063166047022,0.0208592138601797,0.96536033433386,0.117040747643987,0.0916878978143107,0.453868123627457,0.842357510089646,0.955558483943811,0.921075044597101,0.949299611915461,0.963708240350934,0.148668834667894,0.309485478136439,0.886578476202444,0.100171863097319,0.19009235931318,0.848130698348559,0.296737872690531,0.982776645811784,0.800027499374955,0.689348213304386,0.0234624145598806,0.379552572664932,0.471271383115029,0.21230499171132,0.682983977501579,0.971128564001719,0.216026287278264,0.980297510149863,0.117013297201897,0.965871733518137,0.937525380335746,0.858237065987988,0.0710229460950742,0.979796896637601,0.945141225918796,0.112584220896192,0.758623239842519,0.855944922244424,0.145789980604982,0.955340007412064,0.370949685364204,"larynx"
"TCGA-CV-7248-01A",264,34,11,123322,2,183,1,179,12,235,75,1137,377,2,22,1,662,447,215,3064,1040,120,20,3,12,5,11,424,92,6,82,204,1764,124,123,20,1090,775,14,98,77,56,325,0,91,13,103,394,202,1,224,138,1113,14408,138,1,1,400,190,114,1111,90,31,6,217,18,152,112,0,21,79,26,20,24,0,61,8,19,2,11,0,1,63,0.943454379436206,0.434742381461997,0.871562065727386,0.256323276569968,0.905279756505645,0.476433087087748,0.380485889705643,0.283537009471515,0.0310258044095989,0.433234487264398,0.14003729536594,0.0408329813804989,0.13168767036705,0.82791993540525,0.378869787070497,0.879675054652729,0.990998484744496,0.0665204128071533,0.753914947481543,0.920542671938532,0.0957266535376104,0.0375876408387129,0.527747963781716,0.977560432449222,0.980365791837329,0.0288918572181367,0.0152524596595593,0.187124034782245,0.941391845584868,0.95049838012096,0.948535714364238,0.0260044743980576,0.959400962413695,0.940645191590346,0.819608224845015,0.0713394619022279,0.935031801189785,0.040268151259048,0.889127169919985,0.975898611935661,0.426196654303863,0.0450911136142116,0.137316786738773,0.159946586993117,0.822771655467641,0.200790460424315,0.166186025336315,0.0346258131838612,0.848969359872609,0.284229829639956,0.923057271287686,0.190319657091163,0.129471847213302,0.892336892178355,0.0179859274072724,0.0869568651663093,0.0267757017241781,0.909035457043987,0.156082988223606,0.0744995728171173,0.269870052834882,0.973630785596008,0.958944114545178,0.851452498290798,0.962027556310467,0.941581833827642,0.0139115196213757,0.129528232723839,0.93156990109872,0.015942394629387,0.230298179759413,0.74850931253873,0.0570612398703708,0.982830066363423,0.890822448316461,0.565243373668561,0.0257888928526649,0.310953743221571,0.460475998819185,0.0274869458693766,0.633080667024364,0.986135551683066,0.0587010375172934,0.970040650310311,0.0831021186218014,0.892189110437468,0.926961392558068,0.792434123178192,0.132167145442895,0.975125023651054,0.974518901979642,0.157089673814263,0.838244637894869,0.949185078257954,0.151927775493855,0.977283441201445,0.0902311151699059,"larynx"
"TCGA-F7-A50I-01A",19,211,0,97151,1,2,0,40,4,0,17,24,1,1,4,2,453,0,40,541,394,311,7,103,7,9,4,2269,7,0,2,51,19,6,63,8,257,867,33,3,0,88,1,0,0,8,209,554,290,0,0,3,6317,347,49,1,33,8,16,19,43,14,3,0,18,5,3,189,0,2,45,13,0,0,1,170,0,0,0,0,1,12,5,0.849603110884858,0.638403869865233,0.875289723227102,0.0340775992031949,0.861129152822979,0.731610273297999,0.0265830331457249,0.237360630984757,0.0383629117941846,0.377010063595546,0.0834453979805002,0.0562398717711996,0.405411835010104,0.764098154648264,0.326936329433601,0.893296398768634,0.989951978685603,0.0571513258873636,0.799221072914742,0.847365832041731,0.0547614686285911,0.041713414687902,0.555690596269574,0.953323212233292,0.977864803741408,0.0241508756509508,0.0192257564382771,0.0659784072310314,0.775075235349933,0.949631377736271,0.940946418128325,0.0218742916777997,0.907815438211846,0.770711621800462,0.800720016485186,0.0647833728489652,0.973158652495857,0.0336252387198738,0.903859327157243,0.983244762263707,0.402927782663812,0.0505951947315762,0.104103246397943,0.116453836493916,0.929907513081485,0.132163973288376,0.0870321708995185,0.0388793362277399,0.852602518994368,0.197486798566063,0.877593790975078,0.131291713185744,0.147700167547475,0.856316837523481,0.0176339302446977,0.0816076690207102,0.054887353795043,0.863149749307483,0.0896996755644392,0.0810705809957259,0.306269752737238,0.9505674387676,0.960358735232929,0.709852687860102,0.938226796326099,0.909944116398125,0.0238685950116582,0.0887859241524047,0.882565503857169,0.0270740589976193,0.245761223704428,0.80302911385152,0.0504617149841909,0.951998421892061,0.837203674525895,0.594571762510167,0.0254869087094844,0.323033969000025,0.4052438767598,0.0237399996340481,0.68394957901354,0.979016117175143,0.0391718077197742,0.970622896315251,0.453337702394525,0.933275263688854,0.801507557473381,0.819625806083373,0.08449074408577,0.978748059726233,0.929116341663776,0.342283387470623,0.801692458096373,0.932791646935632,0.0701526022619208,0.970193430578434,0.0891850064395596,"larynx"
"TCGA-BB-7864-01A",46,771,0,88810,0,0,3,710,6,9,70,65,276,0,635,0,679,0,0,4153,2014,87,7,11,0,16,4,110,136,0,27,51,3503,173,66,8,2279,13,0,3,0,104,16,0,179,8,3957,153,34,0,0,7,808,1570,512,1,5,508,38,143,1890,23,5,0,0,3,141,29,0,3,83,16,0,0,0,95,106,97,0,0,3,4,33,0.903607383259658,0.714516331391601,0.878247275997776,0.44720934241197,0.89850668711737,0.822748034880403,0.543180774107513,0.228595951139453,0.0357072508152108,0.319940546715558,0.0567319401992647,0.0383598838281644,0.644554432876034,0.827097730445688,0.448163762072547,0.90191296529362,0.98847166296844,0.0407022079571048,0.413254222012219,0.978196540200075,0.0470256123951646,0.0235473479201534,0.270397863091498,0.901802011619791,0.980165334446296,0.0215894174274168,0.0192945501785638,0.0562937346547313,0.955226170329176,0.953551515104142,0.979083783149923,0.0232368703558778,0.899689885489338,0.889221707679868,0.861767450134835,0.058558980064831,0.975528668450112,0.0272178556166181,0.894435648007613,0.983128795092626,0.305862138974002,0.0496464231746054,0.13218963801988,0.0934513301531761,0.90081244337606,0.132537180903277,0.0967949445983531,0.0404387590761515,0.869214697320308,0.227831768428675,0.928383743759708,0.180275623898334,0.14108499668643,0.941288934382942,0.0172926084400045,0.063119868035553,0.027685241528877,0.907849589253377,0.0803915022317946,0.0809088365107681,0.0918143447090839,0.951602899955615,0.970572375906221,0.909210952684093,0.957969903505206,0.950236658985802,0.0180882740778073,0.0789264145075836,0.915443714452976,0.0250800476137443,0.234603183173316,0.906791914377679,0.0388147471858418,0.983608784239913,0.894273972489163,0.468994663821424,0.0158116665762539,0.128687627521723,0.492625899834178,0.0246847919099589,0.726650061395329,0.983521352442547,0.0436205955951974,0.942541562741027,0.43167745909862,0.977685599856575,0.898303017315798,0.883543140785503,0.0566232092509181,0.974369019517868,0.96251886717646,0.384387379224705,0.880062756046128,0.957324207299782,0.0639587627090611,0.973211955347213,0.0537555416594681,"larynx"
"TCGA-UF-A7JH-01A",42,482,2,120567,6,592,2,431,35,47,943,6186,209,0,69,4,1527,2685,12,8239,841,23,15,2,18,2,7,918,378,0,619,1219,2105,197,42,9,4604,49,1,473,1,68,3,1,414,47,2127,241,230,4,2920,10,14648,2462,733,4,3,4229,49,36,3587,1989,23,0,26,2,312,1663,1,0,1,27,3,2,0,235,13,1,10,2,3,2,77,0.921473908129508,0.271948507969439,0.903743421233128,0.0350271163776663,0.908915321829788,0.391678100247037,0.0199958824356162,0.176062239906927,0.0442435582178483,0.384397398725443,0.0749724956763734,0.0427561140998596,0.841199671070607,0.801521809598666,0.265054246886673,0.825889890767536,0.989613881646932,0.0490489698572463,0.811142915014286,0.952519514115122,0.0412436361306918,0.0526293835651259,0.207611971292124,0.950626601587378,0.968909447273333,0.0340843997788873,0.0205672765559911,0.0437786596824552,0.914326497192741,0.952657232673809,0.918777993253521,0.031424303368519,0.825397351815521,0.885292193567208,0.809843075666609,0.0613870891198218,0.940810535066835,0.0454993919519075,0.904635802675387,0.957321731398522,0.223885716646269,0.120421826888,0.0747100343277534,0.0809363186499013,0.844404733290685,0.134955195294929,0.172197311763125,0.0416260280060619,0.855040858319599,0.120457892878297,0.854910591272489,0.0907658457991658,0.0953400014966703,0.872992274062237,0.0179146586925843,0.0746156050203053,0.0251248603967528,0.987131796702893,0.160478181226729,0.115354729655969,0.0918585060136348,0.877357898370117,0.962481277589319,0.73920806422526,0.93444736765693,0.929398517663246,0.0219425567268956,0.0849396915712344,0.907529922828449,0.0229607694835591,0.108654610025374,0.731071740797827,0.0398167025716862,0.970623198104256,0.897680579027026,0.211773315828312,0.0270721931086681,0.123486915980234,0.225361361388635,0.0235493858824735,0.50987746199635,0.985623650353198,0.0422211792134616,0.963855863523156,0.0756696574189805,0.947681350255472,0.883606026241242,0.769341927623735,0.0941166800407538,0.797278741763587,0.944576291400049,0.0844103797239065,0.833827950045528,0.899690730023995,0.049836288789496,0.945838798776914,0.0858185623239564,"larynx"
"TCGA-D6-6517-01A",14,143,0,34510,59,2,0,811,1,3,102,53,1,0,35,5,369,3,6,204,896,31,3,15,9,6,11,2208,173,2,4,1832,53,61,21,4,612,527,8,3,2,55,311,0,22,3,100,1051,34,2,0,1,1074,135,248,8,6,232,127,84,297,9,9,2,1,438,8,1845,0,2,41,12,0,2,0,416,8,9,34,0,2,3,1,0.893318392247152,0.803683647089676,0.870658982456784,0.299985222557137,0.819929905925987,0.882862679124194,0.439175014864735,0.315047047275339,0.0333200516067626,0.414897544958704,0.0977249944821212,0.0433492041484048,0.498325866778902,0.805994797675921,0.346114031870014,0.882857394287567,0.986634959831852,0.0722709503948356,0.810255337749306,0.934193173687184,0.0411939106936417,0.0523435139009852,0.635685089690057,0.920691834983211,0.976086165147462,0.025005558578273,0.0186689667569677,0.0503118662805307,0.942809499623435,0.93746096605546,0.978898263514105,0.0253260672467649,0.904596449865125,0.929450356743292,0.916441134701245,0.0906828323284537,0.926865590716625,0.0399072915958603,0.918306414880141,0.981656867663477,0.437096008573761,0.0356921694122688,0.0833970328115629,0.140391187087001,0.603661823748497,0.139440777837833,0.0518357466488216,0.0497455657305114,0.825851670275265,0.202131681589558,0.914389928199703,0.170477328566761,0.108160687217366,0.856595637895616,0.0260538925977973,0.103769637894101,0.0209027649013794,0.962382886621474,0.0553586950413282,0.0822542863941757,0.204845147498299,0.948910173861307,0.958531129415105,0.964920533159064,0.950747442790783,0.947440694866318,0.0231872741606239,0.107760787629286,0.895133305844106,0.0362591072420264,0.280240577962574,0.827229862343936,0.0397557655474808,0.980031313400505,0.892900869520343,0.591738676671693,0.017361763049757,0.214951798771974,0.360198081391081,0.0357960802930218,0.581518743633529,0.985785500141823,0.0284412997030921,0.95986843812974,0.10707944341208,0.836656675229649,0.970777956823676,0.825181059569546,0.137484589510396,0.952972851792556,0.967823027510476,0.103607690483092,0.911269404414527,0.931891132060035,0.0615487293163878,0.976819066199382,0.0647267575548064,"larynx"
